user_id,active,created_Date,last_Login,role,sign_Up_Source,state
5ff1e194b6a9d73a3a9f1052,1,1/3/2021 15:24,1/3/2021 15:25,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,1,1/3/2021 15:25,1/3/2021 15:25,consumer,Email,WI
5ff1e1e8cfcf6c399c274ad9,1,1/3/2021 15:25,1/3/2021 15:25,consumer,Email,WI
5ff1e1b7cfcf6c399c274a5a,1,1/3/2021 15:24,1/3/2021 15:24,consumer,Email,WI
5ff1e1f1cfcf6c399c274b0b,1,1/3/2021 15:25,1/3/2021 15:25,consumer,Email,WI
5ff1e1e4cfcf6c399c274ac3,1,1/3/2021 15:25,1/3/2021 15:25,consumer,Email,WI
5ff1e1b4cfcf6c399c274a54,1,1/3/2021 15:24,1/3/2021 15:24,consumer,Email,WI
5ff370c562fde912123a5e0e,1,1/4/2021 19:47,1/4/2021 19:50,consumer,Email,WI
5ff36d0362fde912123a5535,1,1/4/2021 19:31,1/4/2021 19:34,consumer,Email,WI
5ff36d83135e7011bcb864d6,1,1/4/2021 19:33,1/4/2021 19:33,consumer,Email,WI
5ff36c8862fde912123a538a,1,1/4/2021 19:29,1/4/2021 19:29,consumer,Email,WI
5ff36be7135e7011bcb856d3,1,1/4/2021 19:26,1/4/2021 19:29,consumer,Email,WI
5ff36a3862fde912123a4460,1,1/4/2021 19:19,1/4/2021 19:23,consumer,Email,WI
5ff36c8e135e7011bcb85da4,1,1/4/2021 19:29,1/4/2021 19:29,consumer,Email,WI
5ff3711e62fde912123a620e,1,1/4/2021 19:48,1/4/2021 19:48,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,1,1/5/2021 20:38,1/5/2021 20:39,consumer,Email,WI
5ff473e7c1e2d0121a9b2697,1,1/5/2021 14:12,1/5/2021 14:12,consumer,Email,WI
5ff47392c3d63511e2a47881,1,1/5/2021 14:11,1/5/2021 14:15,consumer,Email,WI
5ff4ce91c1e2d0121a9b3057,1,1/5/2021 20:39,1/5/2021 20:39,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,1,1/5/2021 20:38,1/5/2021 20:38,consumer,Email,WI
5ff4ce34c3d63511e2a484ba,1,1/5/2021 20:38,1/5/2021 20:38,consumer,Email,WI
5ff4ce3ac1e2d0121a9b2fb3,1,1/5/2021 20:38,1/5/2021 20:38,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,1,1/6/2021 15:03,1/6/2021 15:08,consumer,Email,WI
5ff5d1a38f142f11dd1886ba,1,1/6/2021 15:05,1/6/2021 15:05,consumer,Email,WI
5ff5d1d08f142f11dd18884c,1,1/6/2021 15:05,1/6/2021 15:05,consumer,Email,WI
5ff7264e8f142f11dd189504,1,1/7/2021 15:18,1/7/2021 15:20,consumer,Email,WI
5ff7401ceb7c7d31ca8a46e0,1,1/7/2021 17:08,1/7/2021 17:08,consumer,Email,WI
5ff73bea8f142f3276c3e84a,1,1/7/2021 16:50,1/7/2021 16:50,consumer,Email,WI
5ff74f3db3348b11c93361d1,1,1/7/2021 18:13,1/7/2021 18:17,consumer,Email,WI
5ff73b90eb7c7d31ca8a452b,1,1/7/2021 16:49,1/7/2021 16:51,consumer,Email,WI
5ff7930fb3348b11c93372a6,1,1/7/2021 23:02,1/7/2021 23:09,consumer,Email,WI
5ff7268eeb7c7d12096da2a9,1,1/7/2021 15:19,1/7/2021 15:19,consumer,Email,WI
5ff726a0eb7c7d12096da2db,1,1/7/2021 15:20,1/7/2021 15:20,consumer,Email,WI
5ff793dd04929111f6e90c69,1,1/7/2021 23:06,1/7/2021 23:06,consumer,Email,WI
5ff7949eb3348b11c93373d2,1,1/7/2021 23:09,1/7/2021 23:09,consumer,Email,WI
5ff7268c8f142f11dd189579,1,1/7/2021 15:19,1/7/2021 15:19,consumer,Email,WI
5ff616a68f142f11dd189163,1,1/6/2021 19:59,,consumer,Email,KY
5ff79464b3348b11c933738b,1,1/7/2021 23:08,1/7/2021 23:08,consumer,Email,WI
5ff8c241b3348b11c93379fc,1,1/8/2021 20:36,1/8/2021 20:36,consumer,Email,WI
5ff8ce8504929111f6e913cb,1,1/8/2021 21:28,1/8/2021 21:29,consumer,Email,WI
5ff873d1b3348b11c9337716,1,1/8/2021 15:01,1/8/2021 15:03,consumer,Email,WI
5ff873ef04929111f6e910f0,1,1/8/2021 15:02,1/8/2021 15:02,consumer,Email,WI
5ff8c4e8b3348b11c9337a11,1,1/8/2021 20:47,1/8/2021 20:47,consumer,Email,WI
5ff8da28b3348b11c9337ac6,1,1/8/2021 22:18,1/8/2021 22:19,consumer,Email,WI
5ff8da7db3348b11c9337b6a,1,1/8/2021 22:19,1/8/2021 22:19,consumer,Email,WI
5ff873ddb3348b11c9337733,1,1/8/2021 15:01,1/8/2021 15:01,consumer,Email,WI
5ff8a11db3348b11c93378aa,1,1/8/2021 18:14,1/8/2021 18:14,consumer,Email,WI
5ff8d634b3348b11c9337aa4,1,1/8/2021 22:01,1/8/2021 22:01,consumer,Email,WI
5ff8c330b3348b11c9337a04,1,1/8/2021 20:40,1/8/2021 20:40,consumer,Email,WI
5ff8da7eb3348b11c9337b72,1,1/8/2021 22:19,1/8/2021 22:19,consumer,Email,WI
5ffcb47d04929111f6e9256c,1,1/11/2021 20:26,1/11/2021 20:28,consumer,Email,WI
5ffc8ff9b3348b11c9338896,1,1/11/2021 17:50,1/11/2021 17:50,consumer,Email,WI
5ffc8f9704929111f6e922bf,1,1/11/2021 17:49,1/11/2021 17:50,consumer,Email,WI
5ffc9001b3348b11c93388b6,1,1/11/2021 17:50,1/11/2021 17:50,consumer,Email,WI
5ffcb4bc04929111f6e92608,1,1/11/2021 20:27,1/11/2021 20:27,consumer,Email,WI
5ffc9d87b3348b11c9338920,1,1/11/2021 18:48,1/11/2021 18:50,consumer,Email,WI
5ffc9d9f04929111f6e92456,1,1/11/2021 18:49,1/11/2021 18:49,consumer,Email,WI
5ffca30604929111f6e92525,1,1/11/2021 19:12,1/11/2021 19:12,consumer,Email,WI
5fff0f9804929101d0ab0697,1,1/13/2021 15:19,1/13/2021 15:19,consumer,Email,WI
5fff0f4fb3348b03eb45abb0,1,1/13/2021 15:18,1/13/2021 15:22,consumer,Email,WI
5fff4beedf9ace121f0c17ea,1,1/13/2021 19:37,1/13/2021 19:41,consumer,Email,WI
5ffe115404929101d0aaebb2,1,1/12/2021 21:15,,consumer,Email,AL
5fff55dabd4dff11dda8f5f1,1,1/13/2021 20:19,1/13/2021 20:23,consumer,Email,WI
